id;uuid;name;image;image_content_type;note
1;f988b7d4-e134-4fcb-b4c2-9f933d43b3c5;Concrete;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
2;a088f443-f607-4d82-b87c-ffd45339fedd;Investment salmon;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
3;c001a384-8487-4020-9cb4-a193c636907e;Costa Concrete;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
4;f00f3aa0-c5b0-4269-acb5-1f4c97b6eab5;SCSI wireless;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
5;53477314-2020-447a-a97f-59b740e8fe32;alliance alarm bandwidth;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
6;d33ce543-efd3-4c9f-95c9-08396747af10;Account Cambridgeshire;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
7;f41b8567-dfe1-4a70-8b41-b45650a994ab;online navigating;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
8;705ff185-f518-4a9b-8de1-2c055c1f0a5e;Outdoors Port haptic;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
9;812f7fa2-f67d-4479-8eb8-f81d1c86f811;Integrated card;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
10;8de8fa36-496f-4c72-9268-b81cfad59043;bypass CSS vortals;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
