id;uuid;date;exercise_uuid;exercise_name;exercise_value;exercise_value_type
1;aa914484-ec7c-4581-b2de-5149c1aac826;2021-04-02T14:42:58;dfcae8d3-9324-4013-a368-84cdb858461c;Product;98383;WEIGHT
2;31a6c719-8dfc-4669-bd65-2d1ddeecb67c;2021-04-02T10:22:15;42e25a7a-59e3-4d1b-bee4-60d24f191fa9;AI Afghani;16375;DURATION
3;b29e7f0c-c79d-43f9-a5db-7d483972cd31;2021-04-02T09:43:05;af094ebd-f705-4f7e-9295-f149a310c3a5;reboot;9427;DURATION
4;3afb3eb8-b2dc-4ade-8885-cca281a26c36;2021-04-01T21:34:13;2dd6c6df-3545-4008-9312-a0a795156ad8;payment;19361;WEIGHT
5;95c706ae-76b9-42bd-a95a-00e5bb04d961;2021-04-02T11:27:57;eced3558-f5bd-45e5-8d3c-0a6c0505c80c;New Principal regional;4437;REPETITIONS
6;a6f26513-0d49-4172-b407-3e992cbc5f58;2021-04-02T13:54:15;922a2e66-3086-489b-91ba-a874cfa4a955;reinvent bandwidth;80239;DISTANCE
7;eecec6ec-8000-4ac2-86bd-747555c63fa6;2021-04-02T07:04:24;1427de7e-c0f6-4df0-846e-6551572b4585;Steel high-level;48890;DISTANCE
8;a4fe35de-05a2-446d-bffe-88c8635ce323;2021-04-02T12:18:53;122e6eb5-e3dc-4e4f-accb-d58cf622786c;Industrial Applications;22520;WEIGHT
9;4886a63f-2259-46d5-97b7-838a4adb7181;2021-04-02T09:08:40;5396943a-6d86-4ee8-98c1-09b7d5da00cf;Dakota;33223;WEIGHT
10;007d55e0-6daf-4cb3-a0bc-e3445000ef88;2021-04-02T16:39:40;78efbce8-2648-4303-8250-bc21d8a64e8b;Berkshire;52272;DISTANCE
