id;uuid;jhi_order;type;url;image;image_content_type;description;exercise_id
1;ab64a519-5c32-4007-adcf-8901b0a70e9c;1;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-strict/1.jpg;image/jpg;../fake-data/blob/empty_text.txt;11
2;c21e9036-645f-4204-a0d3-6deee8314b82;2;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-strict/2.jpg;image/jpg;../fake-data/blob/empty_text.txt;11
3;7fd79f4b-48b7-456a-989d-0659498fc42f;1;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-wide/1.jpg;image/jpg;../fake-data/blob/empty_text.txt;12
4;07cd55cf-e26f-4a12-890d-a8fb4ef80c0d;2;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-wide/2.jpg;image/jpg;../fake-data/blob/empty_text.txt;12
5;05cf9aab-fbb0-41ef-970b-66b17cd34b53;1;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-triangle/1.jpg;image/jpg;../fake-data/blob/empty_text.txt;13
6;39edc2e2-f7b8-4cfa-99b1-e5dfde888b7c;2;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-triangle/2.jpg;image/jpg;../fake-data/blob/empty_text.txt;13
7;60e2da40-430a-440b-a4c5-f6a99f3e555f;1;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-pike/1.jpg;image/jpg;../fake-data/blob/empty_text.txt;14
8;ec41e431-36a6-4b4c-bb54-3b04371ff78d;2;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-pike/2.jpg;image/jpg;../fake-data/blob/empty_text.txt;14
9;c10f09ab-140b-4904-b6ed-0a9491f86185;1;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-super/1.jpg;image/jpg;../fake-data/blob/empty_text.txt;15
10;83a06c4c-2600-4d63-aa12-5fc7c469d75b;2;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-super/2.jpg;image/jpg;../fake-data/blob/empty_text.txt;15
11;5eaa16cc-1b70-4559-a73b-c677345067c3;1;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-staggered-hands/1.jpg;image/jpg;../fake-data/blob/empty_text.txt;16
12;72a73865-e15a-4a73-908d-65c68322f017;2;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-staggered-hands/2.jpg;image/jpg;../fake-data/blob/empty_text.txt;16
13;d64c8c60-08e2-4be8-9d72-0cca0adf1e64;1;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-sphinx/1.jpg;image/jpg;../fake-data/blob/empty_text.txt;17
14;e5671c78-973d-4252-8683-c5c2c40e2da7;2;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-sphinx/2.jpg;image/jpg;../fake-data/blob/empty_text.txt;17
15;2db9b946-1f75-4d4c-a304-2763cc9f40cf;1;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-spiderman/1.jpg;image/jpg;../fake-data/blob/empty_text.txt;18
16;1b920cac-bc86-44e4-bed0-e3e76b0f8a8b;2;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-spiderman/2.jpg;image/jpg;../fake-data/blob/empty_text.txt;18
17;7d0b9e5f-7e54-4ab6-9daf-40fd9f7bfe7b;1;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-cross-body/1.jpg;image/jpg;../fake-data/blob/empty_text.txt;19
18;90875588-0df9-46fd-9b58-f3dfad5970eb;2;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-cross-body/2.jpg;image/jpg;../fake-data/blob/empty_text.txt;19
19;e587f65a-0c3e-4a39-af28-97dbaf1ca4cb;1;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-archer/1.jpg;image/jpg;../fake-data/blob/empty_text.txt;20
20;6e644379-a139-4f8b-84af-0f6e4de30c42;2;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-archer/2.jpg;image/jpg;../fake-data/blob/empty_text.txt;20
21;23b53609-927a-43fa-87ab-08f2a3dceaff;1;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-power-and-clap/1.jpg;image/jpg;../fake-data/blob/empty_text.txt;21
22;b59ebb96-5207-4940-9380-54beb4df7c8d;2;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-power-and-clap/2.jpg;image/jpg;../fake-data/blob/empty_text.txt;21
23;7034966b-90b3-4bca-964f-a23b81eae3fc;3;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-power-and-clap/3.jpg;image/jpg;../fake-data/blob/empty_text.txt;21
24;fc1ac404-2ca6-431f-ab0b-7710b1f0c14b;4;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-power-and-clap/4.jpg;image/jpg;../fake-data/blob/empty_text.txt;21
25;e068882d-1743-4770-a4b3-aac9da57d1cc;1;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-one-arm/1.jpg;image/jpg;../fake-data/blob/empty_text.txt;22
26;4b4af3d8-0f57-4c7c-8e48-6fcaa7f0ee15;2;SLIDE_SHOW;;../fake-data/blob/exercises/push-up-one-arm/2.jpg;image/jpg;../fake-data/blob/empty_text.txt;22
