id;uuid;image;image_content_type;name;description
1;00d73a81-13dd-441a-bedc-70bc135eafa5;../fake-data/blob/hipster.png;image/png;parallelism;../fake-data/blob/hipster.txt
2;f4a0043f-a515-4dce-8a92-0e00373d5cdb;../fake-data/blob/hipster.png;image/png;groupware;../fake-data/blob/hipster.txt
3;614893a5-cf59-43f5-b53e-1f765a2c59f1;../fake-data/blob/hipster.png;image/png;Frozen;../fake-data/blob/hipster.txt
4;b7628eaf-060d-435c-be03-5012d4940c7d;../fake-data/blob/hipster.png;image/png;transmitter California invoice;../fake-data/blob/hipster.txt
5;5b8ced29-c9ee-4e20-85d9-05f0569ec1c0;../fake-data/blob/hipster.png;image/png;Tuna seamless red;../fake-data/blob/hipster.txt
6;0952bcd7-3259-4992-b38e-d40501c43dc0;../fake-data/blob/hipster.png;image/png;Principal;../fake-data/blob/hipster.txt
7;6caf85e9-045f-4f93-889b-11b9fa43c842;../fake-data/blob/hipster.png;image/png;granular Licensed;../fake-data/blob/hipster.txt
8;886444eb-a6d6-4e83-ba26-a4a97b1c3658;../fake-data/blob/hipster.png;image/png;Open-source Surinam Serbia;../fake-data/blob/hipster.txt
9;cb2fc3b1-b23e-42d6-93d6-d4ca41d3d1a3;../fake-data/blob/hipster.png;image/png;Rubber;../fake-data/blob/hipster.txt
10;a239e260-9744-4f02-a79f-8d5641288522;../fake-data/blob/hipster.png;image/png;content Montana;../fake-data/blob/hipster.txt
