id;uuid;name;image;image_content_type;description
1;ca5c2d24-3171-4688-bb2c-a1169166eab9;Wooden;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
2;c2c8e391-ebe0-4751-a553-77207c57aa47;Garden Lebanon Frozen;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
3;524a9f5a-9594-491e-9041-8a7a1c5687c0;Guinea neural Bedfordshire;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
4;5ef461d8-01a8-4d50-8d4f-0d2970230132;Steel Forks red;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
5;4c71c7f2-2018-4c4a-976f-8f7403fc898d;Awesome;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
6;e268d0b6-9cd8-4ac0-999f-abb99485a564;Loti Granite;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
7;9c315eb9-fea0-4c11-98e9-2175b8c682bb;Buckinghamshire bypassing;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
8;d093ce44-acc1-4124-82fe-8842e29cf7a2;Hat;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
9;d5aaea9a-f457-49f8-a2d1-ec5b7b015260;Investment Cook;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
10;ba28553a-fb64-4de0-9cd9-f821322a4e47;payment;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
