id;uuid;date;value;image;image_content_type;note
1;3766417a-7f52-4cdd-9a71-1ba329391253;2021-04-08T19:30:14;54185;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
2;dd9fb8d8-ad04-479a-ae0e-1bd259d71568;2021-04-08T01:44:09;32387;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
3;769fa516-5436-456a-a174-6c0d4fc1754e;2021-04-08T11:44:30;54786;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
4;9aeb9fb0-a0a4-447d-b1ed-468e07c76957;2021-04-08T14:38:41;97328;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
5;e1600f67-e0e7-473b-8ccd-1d6c0d51bd3d;2021-04-08T02:35:46;5032;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
6;1f68d174-b467-4a6c-96cc-dbfc39df3814;2021-04-08T11:23:33;84626;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
7;14ad08fd-5a2f-44ef-8daa-2428203860fa;2021-04-08T19:46:46;93602;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
8;847240c9-acb6-41c5-8f7d-c46e75bd8f4d;2021-04-08T06:00:21;60315;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
9;6aa004c2-42db-4576-94cd-ee0ebbf51a6d;2021-04-08T09:30:49;55490;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
10;7732cbdd-5ff0-4fc0-8667-adcaee4c0187;2021-04-08T10:25:04;21884;../fake-data/blob/hipster.png;image/png;../fake-data/blob/empty_text.txt
