id;uuid;name;image;image_content_type;note
1;f9fa2ed8-5721-4bc1-a203-76905fffedd5;Brand Ranch Fantastic;../fake-data/blob/hipster.png;image/png;transmit magenta Gloves
2;5e934646-3732-4258-87cb-5f5c2ef6bd8f;Vision-oriented digital;../fake-data/blob/hipster.png;image/png;turn-key
3;d26da342-c1d2-454a-96bc-b766a201bc21;Territory tertiary;../fake-data/blob/hipster.png;image/png;Automotive
4;afd799bf-9f35-4271-89a9-874b0c32fe20;morph Krona;../fake-data/blob/hipster.png;image/png;innovative
5;a73e43e0-fb89-4a34-a24f-385484a2c012;Handmade static SSL;../fake-data/blob/hipster.png;image/png;Georgia
6;ac6aca06-ff54-4fe8-aa0c-8619aef6db6f;Executive base;../fake-data/blob/hipster.png;image/png;Infrastructure
7;109323ed-6940-4bb2-aed9-9fe5b51ceb72;next-generation Fork;../fake-data/blob/hipster.png;image/png;drive Netherlands convergence
8;bc25b184-3980-4a69-9ad1-2627b15551f5;turn-key microchip;../fake-data/blob/hipster.png;image/png;Agent teal
9;98bbc5eb-9b98-446f-9694-400cf2e067df;Versatile green e-business;../fake-data/blob/hipster.png;image/png;global Ball Gorgeous
10;bf8775bb-d69e-461b-bbe0-ea2532e3228b;Optimized Extended;../fake-data/blob/hipster.png;image/png;Enhanced
