id;uuid;type;url;image;image_content_type;description
1;65cea97f-92b3-455c-83ce-64c50fd6c257;VIDEO;https://youtu.be/aFQaJ6-T_6o?t=84;;;../fake-data/blob/empty_text.txt
2;ee671d27-f1b3-4ff7-98e4-75b54773644e;TEXT;;;;../fake-data/blob/empty_text.txt
3;96282b74-43d2-4b2a-aa26-721b2acb6f77;TEXT;;;;../fake-data/blob/empty_text.txt
4;084de110-9419-4822-b667-839472df2e8b;TEXT;;;;../fake-data/blob/empty_text.txt
5;f2c951a2-9a72-4b28-80ee-624f4f1da9e0;TEXT;;;;../fake-data/blob/empty_text.txt
6;08b07f76-d8da-44bc-9310-ec37b716a41e;TEXT;;;;../fake-data/blob/empty_text.txt
7;ad6564f4-ee0f-40ef-a1f5-acb7730a39a1;TEXT;;;;../fake-data/blob/empty_text.txt
8;33d48b64-02f6-48a6-9a30-32d87cb8212d;TEXT;;;;../fake-data/blob/empty_text.txt
9;f90ed94e-d058-4993-96af-046a43659802;TEXT;;;;../fake-data/blob/empty_text.txt
10;7bb133c4-ede5-4dab-8696-acd4111bcf19;TEXT;;;;../fake-data/blob/empty_text.txt
