id;entity_type;entity_uuid;value
1;revolutionize evolve;Movies HTTP Neck;JSON Regional Brook
2;Taka Estates navigate;Metal;Synergized Regional
3;overriding Metrics;Pants;asymmetric
4;Washington Niue;Cambridgeshire;actuating Liaison
5;compressing;Handmade Forks;Global interactive
6;connecting seamless infomediaries;Pine;Licensed
7;Electronics Avon;auxiliary Lead Electronics;COM azure driver
8;back-end Cambridgeshire;Account Soft Unbranded;methodology GB Director
9;Wooden;quantifying;Bermuda web-enabled
10;Consultant;olive;Saint Arizona
