id;uuid;jhi_order;repetitions;exercise_uuid;exercise_name;exercise_value;exercise_value_type
1;9bb48f61-ebf2-4ae9-b686-d8ccbc9b6030;5947;47277;3ad3165a-b569-4325-88c3-da3121f53840;Bedfordshire Officer;79914;WEIGHT
2;2603d833-bea4-4adc-97d5-729edf1a7f36;44660;88615;8ebd660f-7580-45a3-90ca-33e3d2e6937c;architectures Lead Intelligent;53365;WEIGHT
3;56ec64bc-e386-4cd5-a78e-cc636b1764bf;78218;79033;3de28c32-a543-4fce-9b89-47e5e28601ec;Gorgeous;21099;DISTANCE
4;8574b70b-7ff1-42b1-ba72-02c592ec77a3;93834;92874;092b1ba7-e02f-4074-8393-e2b22bc7f55d;Intranet;1813;DURATION
5;9b15f709-df4f-468e-90d1-abbf5123d037;71247;80542;b803f4f9-c0c4-476e-9fb3-534f200bf717;CSS violet;70452;REPETITIONS
6;0b73af44-1f3e-4021-b33f-f4db7787ae5c;69985;27075;d3cf3331-59f3-44c2-879c-bdc39cda6ba2;Executive solution-oriented bypass;38730;DURATION
7;9fca3213-fa31-4a0b-b363-e9958957946e;37289;49059;932cc67d-41f7-4262-8275-162b145ea6cf;applications e-enable;17519;REPETITIONS
8;dbb0e405-cbfb-4877-83b6-61e4c94659c3;66683;8304;f2e9055f-e844-4248-848c-c1bf79d1f032;Generic blue cross-media;31819;DISTANCE
9;3a44b664-ce88-42b7-93be-434687e9425f;29333;39474;6eeb2f40-5586-4edc-85d3-eac6fd4918d7;Savings;43681;REPETITIONS
10;012b29bd-e3c1-48fb-b2b8-4a8e599c1770;11565;7592;06bfcfc4-8966-425c-8d35-da4d5b89fe6d;Consultant reboot District;38645;REPETITIONS
