id;uuid;jhi_order;execution_time;type;status;exercise_uuid;exercise_name;exercise_value;exercise_value_type
1;211ddc06-6358-4904-9cb7-edbda3306a75;40843;18819;CYCLE_REST;DONE;f9134ba8-3973-42a4-964a-b27f99c092ea;Wisconsin South;43870;DURATION
2;6be9c28a-1a08-400e-abb3-aa5518a0803c;20564;10657;EXERCISE;DONE;aca3599b-b4a3-489e-873d-400f2713c8d1;human-resource capacitor;7285;DURATION
3;0bd8df21-e8eb-44bc-8a1f-e003e2c1acb0;75341;6131;REPETITION_REST;DONE;f7d1fc29-2458-49ab-a5d0-a2f5fee60e2a;Bedfordshire Sausages Burg;95992;REPETITIONS
4;96572f79-c0b6-4e27-b337-28282a723d3c;37471;69537;REPETITION_REST;DONE;d4e70fe9-438d-4e63-b65f-920735ad42ec;Identity Centralized Outdoors;78514;DURATION
5;52caea56-1db8-49df-a048-d95b0235cbdd;69346;62007;REPETITION_REST;SCHEDULED;61463b93-4474-4248-95cd-655b9ac51bce;Account;24750;DISTANCE
6;4b440002-76be-47bf-a960-b4ea90c9384a;33553;78211;REPETITION_REST;DONE;2147c9c6-efde-470f-85f1-41c10b392134;Steel JBOD;41070;DISTANCE
7;6b3183bc-a306-41fb-a259-957593b10569;53015;57887;REPETITION_REST;DONE;555f1708-f2e1-4b31-b64e-96143fe92b10;input model;55454;DISTANCE
8;2be8852b-ad50-4936-a723-1de128f98001;73963;26497;COOL_DOWN_TIME;CANCELLED;4d577c74-ad29-4aec-b605-25b425fea058;parsing;74915;WEIGHT
9;9cdb9bb2-01d7-4627-919d-841fabc73811;42080;99449;PREPARE_TIME;SCHEDULED;422570b4-fcae-4aa1-b1e0-1a5f25750a65;Pants incubate;29050;WEIGHT
10;62b53c59-c426-4576-812b-8035db806e71;47173;26482;PREPARE_TIME;CANCELLED;2b239244-a0e6-4ee7-b60b-491efff64637;Intelligent;34604;WEIGHT
